review,sentiment
"\A little nonsense now and then, is cherished by the wisest men.\""<br /><br />If you are too smart to watch this movie, then you are too smart to be alive. <br /><br />Wonderful romp, wonderful premise, period piece done with acute eye for detail.<br /><br />Walter Matthau, Meg Ryan, Tim Robbins - et al - just wonderful!<br /><br />Rent it, sit down, relax, take it in, smile a little. Enjoy yourself. <br /><br />Then, thank me.""",1
"The movie is just plain fun....maybe more fun for those of us who were young and fans of \The Ramones\"" around the time the film was made. I've watched the film over and over, by myself and with friends, and it is still fresh and funny. At the risk of being too serious, the concept of being a big fan of a certain band is timeless, and high school students boredom with drudgery of some classes is just as timeless.<br /><br />And, the film has some gem lines/scenes.....references to how our \""permanent record\"" in high school will follow us through life. (Let me assure you I've been out of high school for, uhhh, some years and it's not following me).....the famous \""static\"" line (\""I'm getting some static\"".....\""Not as much as you're going to get\"", as Principal Togar approaches).....the school board member who is so decrepit he's attended by nurses....the Nazi Hall Monitors love for a \""body search\"" ......Principal Togar announcing, \""I give you the final solution\"", and burning the Ramones records (note: records were what came before CD's) ....and of course Joey Ramone noting, \""Things sure have changed since we got kicked out of high school\"", followed by Togar asking \""Do your parents know you're Ramones?\""<br /><br />Just one piece of advice.....don't look up where the stars are now.....Joey Ramone sadly died young. Dey Young, who was a major hottie in the film, today reminds us we all age....PJ Soles career never advanced as we might have expected......... Marla Rosenfield, as one the other students, apparently appeared only in this film (one of my male friends dies over her every time we watch the film), though I submit her performance was more than adequate and should have brought her more teen film roles. And, does anyone know what happened to DJ Don Steele? <br /><br />So, watch and enjoy.....don't think....just have FUN!""",1
"You know Jason, you know Freddy, and you know Leatherface. Now, get ready for: The Safety Pin Killer! That's right, in Killer Workout, a dumb slasher movie if I've ever seen one, the unseen murderer dispatches his (or her?) victims with an oversized, novelty safety pin. It is an odd choice to be sure, the kind of thing that deserves an explanation. Naturally, the movie never even attempts to clarify where the killer acquired such a thing.<br /><br />As the title suggests, an aerobics gym is under siege by a mad killer and everyone is a suspect. In fact, the movie gives so few clues as to the identity of the killer, just about everyone in the movie is a potential murderer until they get killed. And since just about everyone but the killer winds up dead, it's really just process of elimination. <br /><br />Oddly, while the entire name cast is killed off, the aerobics classes continue in earnest. In fact, nothing is capable of stopping the dancing. While three men are murdered in the next room, the workout goes on. Death isn't even a factor; one character dies, but is still seen prominently in the later workout sessions. Director David Prior knew what he was doing when named the movie Killer Workout and not Logical Workout.<br /><br />Cop chases, explosive tanning beds, and hundreds of shots of women's exposed flesh are thrown in for good measure. Much like the woman caught in the tanning bed, I felt very uncomfortable by the end of Killer Workout. Finally, thankfully, THE END flashed on the screen. What happened next? You got it, shots of the women working out. Not even the end of the movie can stop them!<br /><br />",0
"At two and a quarter hours this is a sometimes slow moving thoughtful film interrupted by vast sword battles. The battle between darkness and light is signified by the constant motif of the blazing sun and is superbly demonstrated by a three way fight between 'demons', bandits and soldiers in a forest during an eclipse.<br /><br />Be prepared: following a stunning sword fight under lightning filled skies the end of this picture will have you scratching your head in puzzlement.",1
"Follows the same path as most sequels. First one was great. Second was average and this one, full of bad acting and some stupid dialog and well as a lot of suspension of disbelief, this movie was weak.<br /><br />Too predictable and I just couldn't stand that Henry Wrinkler-like boss with that stupid eye, there was so much more they could have done with this. I liked the first one a lot. I wish they would have went more down those lines, rather than what they did here.<br /><br />There was too much unexplained that needed to be explained, what time period this was in and why why why is there an old fashioned phone in that room?<br /><br />I understand there is another one in the works. <br /><br />Blah!",0
"It really impresses me that it got made. The director/writer/actor must be really charismatic in reality. I can think of no other way itd pass script stage. What I want you to consider is this...while watching the films I was feeling sorry for the actors. It felt like being in a stand up comedy club where the guy is dying on his feet and your sitting there, not enjoying it, just feeling really bad for him coz hes of trying. Id really like to know what the budget is, guess it must have been low as the film quality is really poor. I want to write 'the jokes didn't appeal to me'. but the reality is for them to appeal to you, you'd have to be the man who wrote them. or a retard. So imagine that in script form...and this guy got THAT green lit. Thats impressive isn't it?",0
"I remember watching the Disney version and watching it now makes me think it has somehow lost its magic touch. Plenty of other renditions, Ever After put aside, of Cinderella, have, in fact, lost their touch throughout the years. Then I found this production with a flawless performance by Kathleen Turner as the evil stepmother and was blown away by the phantasmagorical essence of this fantasy story that has cast me under its spell since childhood.<br /><br />We all know the story of Cinderella, a young girl who's father died and was dominated by her wicked stepmother and stepdaughters and longs to go to the ball for one last chance for freedom. But this plot line takes a different twist in the classic Fairy Tale by causing Cinderella (whose real name is Zizola, and is only called Cinderella by her family because of her slavery) to be trapped in a situation of her father (who still lives) slowly losing himself to a dominant wife who manipulates him into playing favorites with his wife and step-daughters against his own and tries to poison him. Thus, Zizola goes out to save her father by stopping her stepmother from finding another suitor at the ball by distracting the men who come her way. There, the bored Prince Valiant has a change of heart from his dull life and falls in love with the mysterious lady in the strange dress (forged by a water nymph named Mab) with rose petals for slippers. <br /><br />What drew me to this film most of all was it's original take on the old Fairy Tale that none can compare to. It does not weave a web of lies like most Cinderella stories, it does not ignore any reason as to why Cinderella would want to attend the ball and nor does it show a shallow side to the Prince as the Disney version did. Instead it shows more of Cinderella's selfless heart more than any other production and the artwork is simply stunning! The costumes are all beautifully made, especially Zizola's sapphire blue ballgown to match the Marcella Plunkett's fantastical beauty and soft, spirit-like voice. <br /><br />I would highly suggest this film for anyone who is interested in a dream-like sequence of the classic Fairy Tale with an interesting twist. My only problem is that the producers and director did not make a full collection of other Fairy Tales with this same element and the fact that the film is now out of print.",1
"To suggest Anton Newcombe of the Brian Jonestown Massacre could also use some therapy is putting it mildly. In Dig! which won the Grand Jury Prize at Sundance, we watch him and his band self-sabotage over seven years, while ex-friends and contemporaries The Dandy Warhols rise to comparative greatness (a mobile phone advert, anyway).<br /><br />What elevates Dig! above its contemporaries is the immense, near-biblical comic-tragedy being played out: a depressingly honest treatise on art versus commerce and compromise. For all his \look at me, I'm a bloody genius\"" posturing, Newcombe is in fact revealed to be a singularly gifted, if immensely troubled, musician - far more talented than his rival, the Dandy's Courtney Taylor who narrates the picture. If Newcombe is Dennis Hopper, Taylor's Peter Fonda.<br /><br />Even sadder, Taylor appears to realise this, evinced by his weary, self-loathing voice-over: he knows his band won the battle - but at what cost? In truth, they sold out, made Indie-Lite records, kept their teeth nice and clean, and probably brushed their hair twice before bedtime - thus winning record contracts and a large tour bus. And jettisoning all credibility in the process. Newcombe, on the other hand, lives in filth, is continually busted, beats up fellow band members on stage, kicks hecklers in the head - and is last glimpsed in Dig! being ferried away by police, having lost the right to see his child.<br /><br />Two of the best films about rock's subculture have been directed by women: Penelope Spheeris's The Decline Of Western Civilization and this one  an instant classic the moment it was released.""",1
"This is truly the greatest Swedish movie of all time. Not only is it revolutionary in its narration, but its also among the first movies to feature the next generation of Swedish humor and Swedish comedians. Felix Herngren and Fredrik Lindström are two of the most intelligent and witty filmmakers in Sweden today, and this film really puts that on display.<br /><br />\Vuxna människor\"" (Adult People) is a warm-hearted and hilarious story about adulthood, and the question if we wouldn´t be better off without it.""",1
"First of all this movie starts out on a really dumb note: A 10-year-old girl, playing around in a moving vehicle, decides it would be funny to cover up her mom's eyes with her hands, and then causes a horrific accident which kills the mom....duh....I am sorry, there is positively no 10-year-old that dumb. The rest of the movie does not get much better. After the death of the mother by the apparent dumbest 10-year-old on the planet, the dad moves the family to Genova, Italy, where he is to teach at a local university, but here is the clincher: he does not speak a word of Italian! Then the little girl has \visions\"" of mommy (who she killed), and often subsequent night terrors which always, always end by the father holding and coddling her. Then we are forced to watch this family continually get lost and then found and then hug and then cry and lost and then found (followed by of course more hugging and crying) to the point that I was actually wishing for some sort of natural disaster to just wipe all of these vapid, ignorant people off the planet. Do not get me wrong, because I love indies, but an indie about dumb people (and I mean really dumb) is simply ridiculous and pointless. It is really a shame that this movie was based on such insipid characters wallowing in such retarded scenarios, because the locale was interesting.""",0
